year,name,harvested area [ha],yield [kg/ha]
1972,buenos aires bragado,23000,1791
1973,buenos aires bragado,7000,1600
1974,buenos aires bragado,9500,1705
1975,buenos aires bragado,9000,1400
1976,buenos aires bragado,10200,2000
1977,buenos aires bragado,8500,1541
1978,buenos aires bragado,8100,2154
1979,buenos aires bragado,9900,2343
1980,buenos aires bragado,28000,2518
1981,buenos aires bragado,32000,2031
1982,buenos aires bragado,45000,2100
1983,buenos aires bragado,40000,2600
1984,buenos aires bragado,36000,2600
1985,buenos aires bragado,29700,1401
1986,buenos aires bragado,31000,2032
1987,buenos aires bragado,14800,1993
1988,buenos aires bragado,20000,2200
1989,buenos aires bragado,22000,2318
1990,buenos aires bragado,35000,2900
1991,buenos aires bragado,23000,2800
1992,buenos aires bragado,26000,2900
1993,buenos aires bragado,33500,2301
1994,buenos aires bragado,37200,3301
1995,buenos aires bragado,32800,3201
1996,buenos aires bragado,46900,3699
1997,buenos aires bragado,43200,3301
1998,buenos aires bragado,30000,3700
1999,buenos aires bragado,36000,3625
2000,buenos aires bragado,30000,3000
2001,buenos aires bragado,23000,2000
2002,buenos aires bragado,17900,2400
2003,buenos aires bragado,13500,3500
2004,buenos aires bragado,25000,4000
2005,buenos aires bragado,22000,4000
2006,buenos aires bragado,21500,4100
2007,buenos aires bragado,20500,3200
2008,buenos aires bragado,16000,2800
2009,buenos aires bragado,9420,3805
2010,buenos aires bragado,19100,5163
2011,buenos aires bragado,15000,4700
2012,buenos aires bragado,15350,3000
2013,buenos aires bragado,5000,4000
2014,buenos aires bragado,3800,4100
2015,buenos aires bragado,7440,4000
2016,buenos aires bragado,22830,4200
2017,buenos aires bragado,25849,5000
2018,buenos aires bragado,34842,4000
2019,buenos aires bragado,29800,4500
2020,buenos aires bragado,35197,4199
2021,buenos aires bragado,38000,4900
1969,buenos aires campana,1150,1400
1970,buenos aires campana,800,2000
1971,buenos aires campana,1000,1800
1972,buenos aires campana,1000,1900
1973,buenos aires campana,1000,1500
1974,buenos aires campana,700,1857
1975,buenos aires campana,800,1850
1976,buenos aires campana,750,2000
1977,buenos aires campana,650,2000
1978,buenos aires campana,700,1800
1979,buenos aires campana,500,1900
1980,buenos aires campana,950,2000
1981,buenos aires campana,600,2000
1982,buenos aires campana,520,2096
1983,buenos aires campana,1500,1800
1984,buenos aires campana,2000,2000
1985,buenos aires campana,1000,1000
1986,buenos aires campana,2000,1800
1987,buenos aires campana,1800,1556
1988,buenos aires campana,1000,1500
1989,buenos aires campana,300,2167
1990,buenos aires campana,700,1857
1991,buenos aires campana,300,2000
1992,buenos aires campana,400,2250
1993,buenos aires campana,200,1500
1994,buenos aires campana,200,2500
1995,buenos aires campana,500,2600
1996,buenos aires campana,700,2857
1997,buenos aires campana,500,2200
1998,buenos aires campana,400,2750
1999,buenos aires campana,500,2800
2000,buenos aires campana,400,2300
2001,buenos aires campana,600,1167
2002,buenos aires campana,500,1500
2003,buenos aires campana,600,2800
2004,buenos aires campana,700,3000
2005,buenos aires campana,700,3300
2006,buenos aires campana,850,3600
2007,buenos aires campana,1200,4100
2008,buenos aires campana,700,1900
2009,buenos aires campana,660,4317
2010,buenos aires campana,650,4234
2011,buenos aires campana,800,4400
2012,buenos aires campana,1000,3000
2013,buenos aires campana,1000,4100
2014,buenos aires campana,1200,3400
2015,buenos aires campana,2300,4200
2016,buenos aires campana,2510,4400
2017,buenos aires campana,2800,4400
2018,buenos aires campana,3250,4500
2019,buenos aires campana,3000,4100
2020,buenos aires campana,3100,3800
2021,buenos aires campana,1857,4800
1969,buenos aires capitan sarmiento,6900,1600
1970,buenos aires capitan sarmiento,4950,2162
1971,buenos aires capitan sarmiento,3850,1499
1972,buenos aires capitan sarmiento,3500,2109
1973,buenos aires capitan sarmiento,2000,1400
1974,buenos aires capitan sarmiento,1500,2067
1975,buenos aires capitan sarmiento,2200,2100
1976,buenos aires capitan sarmiento,1900,1600
1977,buenos aires capitan sarmiento,1900,1632
1978,buenos aires capitan sarmiento,2450,2200
1979,buenos aires capitan sarmiento,2950,2441
1980,buenos aires capitan sarmiento,6500,2692
1981,buenos aires capitan sarmiento,7000,2143
1982,buenos aires capitan sarmiento,6350,3150
1983,buenos aires capitan sarmiento,12000,2500
1984,buenos aires capitan sarmiento,11000,2500
1985,buenos aires capitan sarmiento,11850,1700
1986,buenos aires capitan sarmiento,11200,2107
1987,buenos aires capitan sarmiento,11000,1809
1988,buenos aires capitan sarmiento,7500,2200
1989,buenos aires capitan sarmiento,8000,2700
1990,buenos aires capitan sarmiento,9800,2204
1991,buenos aires capitan sarmiento,3900,1897
1992,buenos aires capitan sarmiento,5000,2400
1993,buenos aires capitan sarmiento,3100,1710
1994,buenos aires capitan sarmiento,2900,2586
1995,buenos aires capitan sarmiento,6800,1897
1996,buenos aires capitan sarmiento,13000,3300
1997,buenos aires capitan sarmiento,9500,2800
1998,buenos aires capitan sarmiento,7350,2993
1999,buenos aires capitan sarmiento,9900,3101
2000,buenos aires capitan sarmiento,8000,2500
2001,buenos aires capitan sarmiento,9300,1935
2002,buenos aires capitan sarmiento,7400,1800
2003,buenos aires capitan sarmiento,5850,3200
2004,buenos aires capitan sarmiento,5700,3200
2005,buenos aires capitan sarmiento,5400,3600
2006,buenos aires capitan sarmiento,8350,3800
2007,buenos aires capitan sarmiento,8750,4301
2008,buenos aires capitan sarmiento,6300,2200
2009,buenos aires capitan sarmiento,3880,4739
2010,buenos aires capitan sarmiento,3550,4441
2011,buenos aires capitan sarmiento,3950,4500
2012,buenos aires capitan sarmiento,3100,2900
2013,buenos aires capitan sarmiento,3350,4200
2014,buenos aires capitan sarmiento,3530,3549
2015,buenos aires capitan sarmiento,5120,3900
2016,buenos aires capitan sarmiento,4580,4500
2017,buenos aires capitan sarmiento,8300,4500
2018,buenos aires capitan sarmiento,8890,4500
2019,buenos aires capitan sarmiento,6000,4100
2020,buenos aires capitan sarmiento,6500,4000
2021,buenos aires capitan sarmiento,9901,4900
1969,buenos aires carlos casares,22000,1600
1970,buenos aires carlos casares,16000,1563
1971,buenos aires carlos casares,16000,1400
1972,buenos aires carlos casares,18000,1767
1973,buenos aires carlos casares,5100,2863
1974,buenos aires carlos casares,16500,2000
1975,buenos aires carlos casares,19000,2100
1976,buenos aires carlos casares,29000,2200
1977,buenos aires carlos casares,23500,1574
1978,buenos aires carlos casares,25000,2200
1979,buenos aires carlos casares,31300,2818
1980,buenos aires carlos casares,52000,1846
1981,buenos aires carlos casares,48000,2188
1982,buenos aires carlos casares,35000,2100
1983,buenos aires carlos casares,30000,2400
1984,buenos aires carlos casares,26500,2600
1985,buenos aires carlos casares,21600,1319
1986,buenos aires carlos casares,20000,1900
1987,buenos aires carlos casares,3000,1550
1988,buenos aires carlos casares,15000,2200
1989,buenos aires carlos casares,24000,1800
1990,buenos aires carlos casares,25500,2400
1991,buenos aires carlos casares,16300,2601
1992,buenos aires carlos casares,20100,2801
1993,buenos aires carlos casares,28000,2700
1994,buenos aires carlos casares,28000,3100
1995,buenos aires carlos casares,36000,2550
1996,buenos aires carlos casares,42500,3301
1997,buenos aires carlos casares,29500,3200
1998,buenos aires carlos casares,15500,3226
1999,buenos aires carlos casares,17710,2852
2000,buenos aires carlos casares,14600,3000
2001,buenos aires carlos casares,9100,2604
2002,buenos aires carlos casares,11000,2300
2003,buenos aires carlos casares,9393,3500
2004,buenos aires carlos casares,9675,3500
2005,buenos aires carlos casares,7400,3908
2006,buenos aires carlos casares,9000,3997
2007,buenos aires carlos casares,10900,3905
2008,buenos aires carlos casares,11700,2430
2009,buenos aires carlos casares,7240,2272
2010,buenos aires carlos casares,8300,4016
2011,buenos aires carlos casares,9200,3208
2012,buenos aires carlos casares,3000,2050
2013,buenos aires carlos casares,5300,3228
2014,buenos aires carlos casares,15300,2816
2015,buenos aires carlos casares,17100,3500
2016,buenos aires carlos casares,23370,5000
2017,buenos aires carlos casares,15100,4800
2018,buenos aires carlos casares,17642,5700
2019,buenos aires carlos casares,24000,3300
2020,buenos aires carlos casares,24554,4601
2021,buenos aires carlos casares,29853,4700
1969,buenos aires carlos tejedor,31000,1400
1970,buenos aires carlos tejedor,14000,1429
1971,buenos aires carlos tejedor,11000,1100
1972,buenos aires carlos tejedor,10500,1724
1973,buenos aires carlos tejedor,7500,1800
1974,buenos aires carlos tejedor,15200,1697
1975,buenos aires carlos tejedor,19000,2000
1976,buenos aires carlos tejedor,26000,1900
1977,buenos aires carlos tejedor,15000,1467
1978,buenos aires carlos tejedor,18500,2000
1979,buenos aires carlos tejedor,19000,2105
1980,buenos aires carlos tejedor,21000,1429
1981,buenos aires carlos tejedor,25000,1500
1982,buenos aires carlos tejedor,33700,2100
1983,buenos aires carlos tejedor,28500,2000
1984,buenos aires carlos tejedor,20000,2500
1985,buenos aires carlos tejedor,17000,1600
1986,buenos aires carlos tejedor,15800,1886
1987,buenos aires carlos tejedor,5800,1448
1988,buenos aires carlos tejedor,10000,2200
1989,buenos aires carlos tejedor,13400,1716
1990,buenos aires carlos tejedor,22000,2200
1991,buenos aires carlos tejedor,14000,2100
1992,buenos aires carlos tejedor,15700,1503
1993,buenos aires carlos tejedor,19000,2000
1994,buenos aires carlos tejedor,17100,2602
1995,buenos aires carlos tejedor,19800,2152
1996,buenos aires carlos tejedor,32700,2000
1997,buenos aires carlos tejedor,15500,2503
1998,buenos aires carlos tejedor,12000,2667
1999,buenos aires carlos tejedor,11600,2672
2000,buenos aires carlos tejedor,6700,2209
2001,buenos aires carlos tejedor,3500,2514
2002,buenos aires carlos tejedor,6500,2400
2003,buenos aires carlos tejedor,5985,3099
2004,buenos aires carlos tejedor,7943,3100
2005,buenos aires carlos tejedor,5900,3700
2006,buenos aires carlos tejedor,12900,3900
2007,buenos aires carlos tejedor,14400,3801
2008,buenos aires carlos tejedor,15200,2408
2009,buenos aires carlos tejedor,7660,1918
2010,buenos aires carlos tejedor,9900,3927
2011,buenos aires carlos tejedor,11800,3208
2012,buenos aires carlos tejedor,7100,2034
2013,buenos aires carlos tejedor,12400,3304
2014,buenos aires carlos tejedor,25550,2802
2015,buenos aires carlos tejedor,9360,3200
2016,buenos aires carlos tejedor,24800,4700
2017,buenos aires carlos tejedor,8000,4700
2018,buenos aires carlos tejedor,23673,4300
2019,buenos aires carlos tejedor,26870,2600
2020,buenos aires carlos tejedor,28500,4400
2021,buenos aires carlos tejedor,23719,4700
1969,buenos aires carmen de areco,3300,1700
1970,buenos aires carmen de areco,2000,2150
1971,buenos aires carmen de areco,3000,1600
1972,buenos aires carmen de areco,3100,2200
1973,buenos aires carmen de areco,2000,1300
1974,buenos aires carmen de areco,2000,2000
1975,buenos aires carmen de areco,3200,1900
1976,buenos aires carmen de areco,3300,1500
1977,buenos aires carmen de areco,2800,1661
1978,buenos aires carmen de areco,2850,2088
1979,buenos aires carmen de areco,3450,2348
1980,buenos aires carmen de areco,5000,2600
1981,buenos aires carmen de areco,7000,2000
1982,buenos aires carmen de areco,6350,2835
1983,buenos aires carmen de areco,6300,1900
1984,buenos aires carmen de areco,6000,2400
1985,buenos aires carmen de areco,3950,1500
1986,buenos aires carmen de areco,3600,1972
1987,buenos aires carmen de areco,7000,2000
1988,buenos aires carmen de areco,6000,1800
1989,buenos aires carmen de areco,4500,2511
1990,buenos aires carmen de areco,5200,2308
1991,buenos aires carmen de areco,3100,2000
1992,buenos aires carmen de areco,4200,3000
1993,buenos aires carmen de areco,3500,1914
1994,buenos aires carmen de areco,2500,2600
1995,buenos aires carmen de areco,4000,3000
1996,buenos aires carmen de areco,8000,3500
1997,buenos aires carmen de areco,6800,2897
1998,buenos aires carmen de areco,5000,2900
1999,buenos aires carmen de areco,6500,3015
2000,buenos aires carmen de areco,5500,3000
2001,buenos aires carmen de areco,4500,2000
2002,buenos aires carmen de areco,3500,2000
2003,buenos aires carmen de areco,2800,3600
2004,buenos aires carmen de areco,3500,3800
2005,buenos aires carmen de areco,3000,3800
2006,buenos aires carmen de areco,3400,4100
2007,buenos aires carmen de areco,3400,4400
2008,buenos aires carmen de areco,2700,2600
2009,buenos aires carmen de areco,7560,4339
2010,buenos aires carmen de areco,7500,5164
2011,buenos aires carmen de areco,7800,4900
2012,buenos aires carmen de areco,5750,3300
2013,buenos aires carmen de areco,6300,3800
2014,buenos aires carmen de areco,5000,3800
2015,buenos aires carmen de areco,6640,4200
2016,buenos aires carmen de areco,7630,4700
2017,buenos aires carmen de areco,8095,4500
2018,buenos aires carmen de areco,14900,4800
2019,buenos aires carmen de areco,13400,3800
2020,buenos aires carmen de areco,12000,3500
2021,buenos aires carmen de areco,12500,4700
1969,buenos aires chacabuco,19750,1500
1970,buenos aires chacabuco,12000,1917
1971,buenos aires chacabuco,13500,1485
1972,buenos aires chacabuco,14500,2200
1973,buenos aires chacabuco,8000,1400
1974,buenos aires chacabuco,12000,2000
1975,buenos aires chacabuco,15000,2073
1976,buenos aires chacabuco,18000,1700
1977,buenos aires chacabuco,13200,1697
1978,buenos aires chacabuco,8500,2000
1979,buenos aires chacabuco,11400,2400
1980,buenos aires chacabuco,18820,2497
1981,buenos aires chacabuco,25000,2120
1982,buenos aires chacabuco,25000,2800
1983,buenos aires chacabuco,33000,2000
1984,buenos aires chacabuco,33000,2200
1985,buenos aires chacabuco,23000,1461
1986,buenos aires chacabuco,28500,2098
1987,buenos aires chacabuco,19000,2142
1988,buenos aires chacabuco,24500,2500
1989,buenos aires chacabuco,27000,2700
1990,buenos aires chacabuco,44000,2614
1991,buenos aires chacabuco,30000,2000
1992,buenos aires chacabuco,38000,2950
1993,buenos aires chacabuco,28300,1799
1994,buenos aires chacabuco,38000,2700
1995,buenos aires chacabuco,42000,3148
1996,buenos aires chacabuco,52000,3000
1997,buenos aires chacabuco,47400,2800
1998,buenos aires chacabuco,36800,2853
1999,buenos aires chacabuco,45000,3233
2000,buenos aires chacabuco,42000,3000
2001,buenos aires chacabuco,35000,1800
2002,buenos aires chacabuco,25000,2100
2003,buenos aires chacabuco,19000,3400
2004,buenos aires chacabuco,24000,3700
2005,buenos aires chacabuco,20000,4200
2006,buenos aires chacabuco,23000,4100
2007,buenos aires chacabuco,23000,4300
2008,buenos aires chacabuco,18100,2900
2009,buenos aires chacabuco,26460,4728
2010,buenos aires chacabuco,26000,5370
2011,buenos aires chacabuco,22200,5000
2012,buenos aires chacabuco,16000,3500
2013,buenos aires chacabuco,17600,4500
2014,buenos aires chacabuco,13000,4100
2015,buenos aires chacabuco,13140,4500
2016,buenos aires chacabuco,17250,4800
2017,buenos aires chacabuco,23635,4800
2018,buenos aires chacabuco,30000,4800
2019,buenos aires chacabuco,32500,4100
2020,buenos aires chacabuco,42000,4400
2021,buenos aires chacabuco,43000,4400
1969,buenos aires chivilcoy,30000,1700
1970,buenos aires chivilcoy,22500,1733
1971,buenos aires chivilcoy,23000,1600
1972,buenos aires chivilcoy,24450,2147
1973,buenos aires chivilcoy,7000,1600
1974,buenos aires chivilcoy,8700,2000
1975,buenos aires chivilcoy,23000,2000
1976,buenos aires chivilcoy,15000,2300
1977,buenos aires chivilcoy,9400,1340
1978,buenos aires chivilcoy,8200,2000
1979,buenos aires chivilcoy,9900,2343
1980,buenos aires chivilcoy,26640,2703
1981,buenos aires chivilcoy,27000,2315
1982,buenos aires chivilcoy,30000,2700
1983,buenos aires chivilcoy,30000,2400
1984,buenos aires chivilcoy,25000,2100
1985,buenos aires chivilcoy,21300,1399
1986,buenos aires chivilcoy,23000,2061
1987,buenos aires chivilcoy,28000,1993
1988,buenos aires chivilcoy,30000,2300
1989,buenos aires chivilcoy,30000,2400
1990,buenos aires chivilcoy,37000,2900
1991,buenos aires chivilcoy,25000,2800
1992,buenos aires chivilcoy,34000,2900
1993,buenos aires chivilcoy,30000,2200
1994,buenos aires chivilcoy,33600,3301
1995,buenos aires chivilcoy,37000,3000
1996,buenos aires chivilcoy,45000,3800
1997,buenos aires chivilcoy,42500,3301
1998,buenos aires chivilcoy,31000,3871
1999,buenos aires chivilcoy,34000,3691
2000,buenos aires chivilcoy,30000,2200
2001,buenos aires chivilcoy,28500,1807
2002,buenos aires chivilcoy,24800,2000
2003,buenos aires chivilcoy,20800,3500
2004,buenos aires chivilcoy,21000,4300
2005,buenos aires chivilcoy,18000,4000
2006,buenos aires chivilcoy,17500,4600
2007,buenos aires chivilcoy,23000,3500
2008,buenos aires chivilcoy,18250,2800
2009,buenos aires chivilcoy,20190,3949
2010,buenos aires chivilcoy,18600,5163
2011,buenos aires chivilcoy,17640,4400
2012,buenos aires chivilcoy,9750,3000
2013,buenos aires chivilcoy,12000,4000
2014,buenos aires chivilcoy,8500,4100
2015,buenos aires chivilcoy,10430,4000
2016,buenos aires chivilcoy,24990,4200
2017,buenos aires chivilcoy,30523,4000
2018,buenos aires chivilcoy,27802,4000
2019,buenos aires chivilcoy,25400,4500
2020,buenos aires chivilcoy,33092,4199
2021,buenos aires chivilcoy,37525,4900
1969,buenos aires colon,5900,1500
1970,buenos aires colon,4500,2000
1971,buenos aires colon,4500,1400
