model,year,init_month,forecasted_month,rain,tmean,lat,lon
PNU,1999,11,11,0.0023169872760772704,20.291436767578148,-35.0,-57.5
PNU,1999,11,11,0.002316983461380005,20.283898925781273,-35.0,-55.0
PNU,1999,11,11,0.0007024619579315185,16.270684814453148,-32.5,-67.5
PNU,1999,11,11,0.0041540169715881346,18.592340087890648,-32.5,-65.0
PNU,1999,11,11,0.0032857096195220946,19.816247558593773,-32.5,-62.5
PNU,1999,11,11,0.0028608481884002685,20.569635009765648,-32.5,-60.0
PNU,1999,11,11,0.0023582003116607666,20.604577636718773,-32.5,-57.5
PNU,1999,11,11,0.0023582003116607666,20.603967285156273,-32.5,-55.0
PNU,1999,11,11,0.0006282771229743958,15.721917724609398,-30.0,-67.5
PNU,1999,11,11,0.006105140209197998,18.492028808593773,-30.0,-65.0
PNU,1999,11,11,0.003472557783126831,20.554040527343773,-30.0,-62.5
PNU,1999,11,11,0.003810101270675659,20.815911865234398,-30.0,-60.0
PNU,1999,11,11,0.003239130973815918,20.842950439453148,-30.0,-57.5
PNU,1999,11,11,0.003239130973815918,20.842614746093773,-30.0,-55.0
PNU,2000,11,11,0.001855414867401123,10.448785400390648,-45.0,-67.5
PNU,2000,11,11,0.0012211811542510987,10.157189941406273,-45.0,-65.0
PNU,2000,11,11,0.0010455455780029297,10.247979736328148,-45.0,-62.5
PNU,2000,11,11,0.0010648974180221557,9.171044921875023,-45.0,-60.0
PNU,2000,11,11,0.0012348357439041138,8.174798583984398,-45.0,-57.5
PNU,2000,11,11,0.0012348659038543702,8.151086425781273,-45.0,-55.0
PNU,2000,11,11,0.0018046803474426269,11.662927246093773,-42.5,-67.5
PNU,2000,11,11,0.0017619915008544923,14.239129638671898,-42.5,-65.0
PNU,2000,11,11,0.0008722085952758789,12.093499755859398,-42.5,-62.5
PNU,2000,11,11,0.0008155688643455506,11.073907470703148,-42.5,-60.0
PNU,2000,11,11,0.0010196104049682616,10.092279052734398,-42.5,-57.5
PNU,2000,11,11,0.001019626259803772,10.074884033203148,-42.5,-55.0
PNU,2000,11,11,0.0013628536462783813,12.891839599609398,-40.0,-67.5
PNU,2000,11,11,0.0018238900899887084,16.022698974609398,-40.0,-65.0
PNU,2000,11,11,0.00104777991771698,14.519097900390648,-40.0,-62.5
PNU,2000,11,11,0.0009798179864883422,13.516931152343773,-40.0,-60.0
