name,time,year,month,rain,tmean
buenos aires 9 de julio,2012-09-01,2012,9,0.0029827403,13.49246715198866
buenos aires 9 de julio,2012-10-01,2012,10,0.0066795605,16.60934392755684
buenos aires 9 de julio,2012-11-01,2012,11,0.0042145755,20.279465553977296
buenos aires 9 de julio,2013-09-01,2013,9,0.0022265136,12.478528941761386
buenos aires 9 de julio,2013-10-01,2013,10,0.0014078203,17.377610085227296
buenos aires 9 de julio,2013-11-01,2013,11,0.00623119,19.85013316761366
buenos aires 9 de julio,2014-09-01,2014,9,0.0016223018,14.324542791193204
buenos aires 9 de julio,2014-10-01,2014,10,0.004307725,17.99979137073866
buenos aires 9 de julio,2014-11-01,2014,11,0.003517022,19.470938387784113
buenos aires 9 de julio,2015-09-01,2015,9,0.0009880004,12.300239701704568
buenos aires 9 de julio,2015-10-01,2015,10,0.0024637997,13.881671697443204
buenos aires 9 de julio,2015-11-01,2015,11,0.0028210098,19.202383700284113
buenos aires 9 de julio,2016-09-01,2016,9,0.0017794773,13.180766157670478
buenos aires 9 de julio,2016-10-01,2016,10,0.0041206162,15.82376598011366
buenos aires 9 de julio,2016-11-01,2016,11,0.0014347507,20.160080788352296
buenos aires 9 de julio,2017-09-01,2017,9,0.004953395,13.172376598011386
buenos aires 9 de julio,2017-10-01,2017,10,0.0023109103,16.10419477982957
buenos aires 9 de julio,2017-11-01,2017,11,0.0015521535,19.019189453125023
buenos aires 9 de julio,2018-09-01,2018,9,0.0043107187,14.994464666193204
buenos aires 9 de julio,2018-10-01,2018,10,0.002258938,15.973490767045478
buenos aires 9 de julio,2018-11-01,2018,11,0.0068835686,19.36975319602275
buenos aires 9 de julio,2019-09-01,2019,9,0.00039303306,13.770809659090931
buenos aires 9 de julio,2019-10-01,2019,10,0.0027358797,16.59778053977275
buenos aires 9 de julio,2019-11-01,2019,11,0.0026346764,21.33832563920457
buenos aires 9 de julio,2020-09-01,2020,9,0.0027557542,12.718075284090931
buenos aires 9 de julio,2020-10-01,2020,10,0.0029316589,15.563778409090931
buenos aires 9 de julio,2020-11-01,2020,11,0.0011023002,20.839657315340933
buenos aires 9 de julio,2021-09-01,2021,9,0.0031362725,14.016592684659114
buenos aires 9 de julio,2021-10-01,2021,10,0.0013306577,17.052325994318206
buenos aires 9 de julio,2021-11-01,2021,11,0.0033172793,19.821191406250023
buenos aires 9 de julio,2022-09-01,2022,9,0.00013463781,14.25940163352275
buenos aires 9 de julio,2022-10-01,2022,10,0.0009367371,16.65213512073866
buenos aires 9 de julio,2022-11-01,2022,11,0.0014549135,21.985009765625023
buenos aires adolfo alsina,1993-09-01,1993,9,0.0012765315,11.90984108664775
buenos aires adolfo alsina,1993-10-01,1993,10,0.002418177,15.954154829545477
buenos aires adolfo alsina,1993-11-01,1993,11,0.0053712055,17.39965376420457
buenos aires adolfo alsina,1994-09-01,1994,9,0.0006138534,12.650936612215931
buenos aires adolfo alsina,1994-10-01,1994,10,0.00218076,14.56394264914775
buenos aires adolfo alsina,1994-11-01,1994,11,0.0018179308,20.24555220170457
buenos aires adolfo alsina,1995-09-01,1995,9,0.0003817855,13.633216441761386
buenos aires adolfo alsina,1995-10-01,1995,10,0.0019368088,15.784632457386387
buenos aires adolfo alsina,1995-11-01,1995,11,0.0034357968,19.92608753551139
buenos aires adolfo alsina,1996-09-01,1996,9,0.00073984195,12.554101562500023
buenos aires adolfo alsina,1996-10-01,1996,10,0.002251387,16.870458984375023
buenos aires adolfo alsina,1996-11-01,1996,11,0.004577517,19.978724254261387
buenos aires adolfo alsina,1997-09-01,1997,9,0.0015791546,11.58352272727275
buenos aires adolfo alsina,1997-10-01,1997,10,0.0037418471,14.510480291193204
buenos aires adolfo alsina,1997-11-01,1997,11,0.0020591728,17.677015269886386
buenos aires adolfo alsina,1998-09-01,1998,9,0.0026171764,11.006134588068205
buenos aires adolfo alsina,1998-10-01,1998,10,0.0010643074,17.425732421875022
buenos aires adolfo alsina,1998-11-01,1998,11,0.0038343912,19.05277876420457
buenos aires adolfo alsina,1999-09-01,1999,9,0.0025713593,12.645685369318205
buenos aires adolfo alsina,1999-10-01,1999,10,0.0018576932,15.358695845170477
buenos aires adolfo alsina,1999-11-01,1999,11,0.0044067735,18.537974964488658
buenos aires adolfo alsina,2000-09-01,2000,9,0.004116217,11.07596324573866
buenos aires adolfo alsina,2000-10-01,2000,10,0.0040932666,14.304674183238658
buenos aires adolfo alsina,2000-11-01,2000,11,0.0028387012,17.62551491477275
buenos aires adolfo alsina,2001-09-01,2001,9,0.0058293412,11.375146484375023
buenos aires adolfo alsina,2001-10-01,2001,10,0.0061386656,15.789555220170477
buenos aires adolfo alsina,2001-11-01,2001,11,0.004034496,17.556116832386387
buenos aires adolfo alsina,2002-09-01,2002,9,0.0014264656,11.700208629261386
buenos aires adolfo alsina,2002-10-01,2002,10,0.004245616,16.061057350852295
buenos aires adolfo alsina,2002-11-01,2002,11,0.003919643,18.33341619318184
buenos aires adolfo alsina,2003-09-01,2003,9,0.00083182217,13.473974609375023
buenos aires adolfo alsina,2003-10-01,2003,10,0.0026421181,17.25386629971593
buenos aires adolfo alsina,2003-11-01,2003,11,0.0036500471,19.231835937500026
buenos aires adolfo alsina,2004-09-01,2004,9,0.0015291768,12.681547407670477
buenos aires adolfo alsina,2004-10-01,2004,10,0.0029944263,14.890727095170478
buenos aires adolfo alsina,2004-11-01,2004,11,0.0034402632,17.675181995738658
buenos aires adolfo alsina,2005-09-01,2005,9,0.0017044687,12.264398748224455
buenos aires adolfo alsina,2005-10-01,2005,10,0.0005479365,15.949116654829568
buenos aires adolfo alsina,2005-11-01,2005,11,0.0027087342,20.526846590909116
buenos aires adolfo alsina,2006-09-01,2006,9,0.00085933675,13.208176491477296
buenos aires adolfo alsina,2006-10-01,2006,10,0.003972495,16.90128728693184
buenos aires adolfo alsina,2006-11-01,2006,11,0.0006963403,19.656307705965933
buenos aires adolfo alsina,2007-09-01,2007,9,0.0036683113,13.234224076704567
buenos aires adolfo alsina,2007-10-01,2007,10,0.0029332784,16.32510653409093
buenos aires adolfo alsina,2007-11-01,2007,11,0.0022192856,17.557266512784114
buenos aires adolfo alsina,2008-09-01,2008,9,0.00097043987,12.580215731534114
buenos aires adolfo alsina,2008-10-01,2008,10,0.0026403435,15.925985440340932
buenos aires adolfo alsina,2008-11-01,2008,11,0.0021320318,22.695916193181844
buenos aires adolfo alsina,2009-09-01,2009,9,0.002124674,10.905069247159114
buenos aires adolfo alsina,2009-10-01,2009,10,0.0006458932,16.322727272727295
buenos aires adolfo alsina,2009-11-01,2009,11,0.0028898686,19.266326349431843
buenos aires adolfo alsina,2010-09-01,2010,9,0.0034561343,12.57630504261366
buenos aires adolfo alsina,2010-10-01,2010,10,0.0015559405,15.826611328125022
buenos aires adolfo alsina,2010-11-01,2010,11,0.0018400822,19.055526455965936
buenos aires adolfo alsina,2011-09-01,2011,9,0.00044048746,13.61565163352275
buenos aires adolfo alsina,2011-10-01,2011,10,0.0019643246,14.754718572443204
buenos aires adolfo alsina,2011-11-01,2011,11,0.0041491673,20.581751598011387
buenos aires adolfo alsina,2012-09-01,2012,9,0.0009297217,13.107657137784114
buenos aires adolfo alsina,2012-10-01,2012,10,0.005150792,15.669331498579568
buenos aires adolfo alsina,2012-11-01,2012,11,0.0033074308,20.124467329545478
