year,model,init_month,yield [kg/ha],yield anomaly [%],tmeanrain_santa fe san justo_10,tmeansquared_entre rios nogoya_9,tmeanrain_santa fe san justo_11,tmeansquared_buenos aires coronel suarez_11,tmeanrain_buenos aires coronel suarez_11,rainsquared_buenos aires hipolito yrigoyen_9,tmeanrain_entre rios nogoya_10,tmeansquared_santa fe san justo_9,rainsquared_santa fe san justo_11,tmeanrain_buenos aires coronel suarez_9
2016,BOM,9,3477.431893841902,0.0660093515389699,-2.1497292733152795,0.14665371405017058,0.458844437621326,-0.27939896933555386,0.14206548777248867,-0.6282221488123384,-1.3790140179778507,-0.05726504912581339,-0.46352126780298214,0.23734371177346394
2016,BOM,10,3477.431893841902,0.0660093515389699,-0.5461959940119693,-0.2408055371863943,-0.9460812595980518,-0.05863383644302498,0.6207306030457906,-0.4375762119376423,-0.5044693206023548,-0.5507629102124624,-0.5685084596290234,0.4535733183096389
2016,BOM,11,3477.431893841902,0.0660093515389699,0.0732219174662973,-0.2408055371863943,-1.4417825335506542,-0.17669697869343792,0.33679446166193916,-0.4375762119376423,-0.1590235866554493,-0.5507629102124624,0.2121927516730808,0.4535733183096389
1993,CCSM4,9,2037.439151033997,-0.0461708621216909,-0.3072048224068185,0.28059040720930134,0.05580857544453218,-0.1735999067830063,-0.486819525470244,-0.46408776523295237,-0.22618344059571255,-0.3625141992272987,-0.5228644105591992,1.6753405457950126
1993,CCSM4,10,2037.439151033997,-0.0461708621216909,1.2610546067675725,1.273176970145736,0.4437345836083265,0.16346430442070867,0.4209627024233013,-0.5040017024172249,0.9240970312535461,0.0932253228767724,-0.5279401556950711,0.5078820007956356
1993,CCSM4,11,2037.439151033997,-0.0461708621216909,-2.84516746888442,1.273176970145736,-1.6744263877299934,-0.19098101616769242,-0.10706003220316854,-0.5040017024172249,-0.8345273364606391,0.0932253228767724,0.4883684949686554,0.5078820007956356
1994,CCSM4,9,2185.741997507356,0.018137739947107,-0.1917954051011261,0.019820834555265704,-0.2821397183485548,0.16237102506051,0.1706819767962174,0.22582401675044142,-0.1356607594364741,-0.7408834951011815,-0.7394240319189725,0.6198262744965815
1994,CCSM4,10,2185.741997507356,0.018137739947107,0.773585800300087,0.1873599322646251,-0.02096166239791362,0.1396543903866471,1.0746208679850904,-0.5151841819496545,1.4052855998369664,-0.1224663457314996,-0.8125845961497518,-0.0318913201485533
1994,CCSM4,11,2185.741997507356,0.018137739947107,-1.192060104718745,0.1873599322646251,0.09934379691664622,-0.46865391189317585,0.5025699877621531,-0.5151841819496545,-0.7365476252513777,-0.1224663457314996,-0.8421754234150324,-0.0318913201485533
1995,CCSM4,9,1946.759707253285,-0.1022646938567331,-0.7202673322631963,0.1864419466362893,-0.24311599337077683,-0.5486886521965502,0.4543479545285009,-0.32014765041349247,-0.5063572660861472,1.1855686217860297,1.1418845111799694,-0.01667932159425942
1995,CCSM4,10,1946.759707253285,-0.1022646938567331,-2.213698368593614,-0.351457450097654,0.4951092150309631,-0.5491209858493729,0.33869162630098815,-0.2192486650489319,-3.834719141897957,-0.6031344376404629,-0.6873355672637772,-1.34663793103679
1995,CCSM4,11,1946.759707253285,-0.1022646938567331,0.2046023600664648,-0.351457450097654,0.05782960412378157,-0.47060250949665067,0.49458195954950673,-0.2192486650489319,0.3924973395335989,-0.6031344376404629,-0.6697041144262703,-1.34663793103679
1996,CCSM4,9,2260.47032027338,0.0409677436828619,-0.09773393211584162,-0.7888572476990671,-0.5519375918603284,0.4794853499481586,-1.598997396977686,0.301194393948709,-0.027136075280968522,-0.5766580602302882,1.2695995130944018,-1.0503931058297695
1996,CCSM4,10,2260.47032027338,0.0409677436828619,-0.3334234797477626,-0.7739327919361044,0.005674412210044334,-0.4488497399882105,0.45296284804671794,-0.2548149533584984,-0.8817926419858197,-0.5644491466516878,-0.5623447552220728,0.4924623043142366
1996,CCSM4,11,2260.47032027338,0.0409677436828619,0.0020812526940399,-0.7739327919361044,0.4487752608217512,-0.3751635408431785,0.2465462732912824,-0.2548149533584984,-0.2573578939499356,-0.5644491466516878,0.15986310505195864,0.4924623043142366
