year,model,init_month,yield [kg/ha],yield anomaly [%],tmeanrain_santa fe san justo_10,tmeanrain_santa fe san justo_11,rainsquared_buenos aires lujan_9,rainsquared_buenos aires villarino_11,tmeanrain_buenos aires hipolito yrigoyen_11,tmeansquared_buenos aires hipolito yrigoyen_11,tmeanrain_buenos aires coronel suarez_11,rainsquared_buenos aires hipolito yrigoyen_9,rainsquared_santa fe san justo_11,tmeanrain_buenos aires coronel suarez_9
2010,CWB,10,3933.646838880765,0.395993458774148,-0.5864686129644349,-0.6225045905868141,-0.3017313080288065,-0.8665832560260263,0.23374024646968938,-0.16516090139401748,-0.23085046285190272,6.25880380270696,1.3880495754420377,0.3653677045326587
2010,CWB,11,3933.646838880765,0.395993458774148,1.9765190236549584,-0.5510040529920067,-0.3017313080288065,-0.8964773325775143,-0.09405710555462628,13.415962180590554,1.148258754052513,6.25880380270696,1.1623948733047933,0.3653677045326587
2011,CWB,9,3647.926665981048,0.1954531458213887,0.3694338942471991,0.28416769228277083,1.8763195599198232,-0.8971962927059088,0.28532609421262933,-0.5326458271912595,0.3144116179681805,-0.19212964369881247,-0.787057160256524,-0.11064020062966122
2011,CWB,10,3647.926665981048,0.1954531458213887,0.6337220611201596,0.46659399328461043,-1.1331917957599946,0.27825539874561395,0.2756066725975144,-0.7082133248394068,0.23269174685972757,0.2181487212223256,-0.572280887870758,-0.6658528370656961
2011,CWB,11,3647.926665981048,0.1954531458213887,0.4215007055606539,-0.15044678910492895,-1.1331917957599946,1.000047544444975,-0.3294918541392441,-0.3596944800252409,-0.5845785389921448,0.2181487212223256,-0.7543404731683309,-0.6658528370656961
2012,CWB,9,2958.105831211545,-0.0776281120723763,0.4476107821422225,0.03380487936374788,-0.29601990467647027,-0.04401246930636347,0.34279206035163406,-0.4861238086419508,0.4297344004160978,-0.5630026113779354,2.8936734803135535,-0.39872651975706686
2012,CWB,10,2958.105831211545,-0.0776281120723763,0.8910430391904547,-0.0824771478602784,-0.3264391334964231,0.2911798792557752,0.4792218107954463,-0.6306387921321336,0.4106880261350142,-0.4965444009707422,2.879780674843896,-0.0589579586688651
2012,CWB,11,2958.105831211545,-0.0776281120723763,0.8328598529406941,-1.4547863887994272,-0.3264391334964231,-0.8730111529093826,0.17189312507280755,-0.4305214854332442,0.11539281139227481,-0.4965444009707422,2.978967950790591,-0.0589579586688651
2013,CWB,9,2707.197486937163,-0.1611192435848817,0.34464496304981757,0.0516120690120326,0.3207471267675026,-0.8642192899891593,0.5724749388235483,0.10328129240910493,0.5949005028737021,-0.6312097396097421,-0.7952583083670645,-0.32646833104461803
2013,CWB,10,2707.197486937163,-0.1611192435848817,0.0786073904861761,0.02141909965077687,-1.160955937205295,-0.7786622244192468,0.34521504155522625,-0.4060164553058481,0.49445830263446183,-0.6729714154471901,-0.7482452064968953,-1.0940019956569458
2013,CWB,11,2707.197486937163,-0.1611192435848817,-2.8333527119448627,0.06086372813530109,-1.160955937205295,0.10587711273872029,-0.5571064850266396,-0.2042565756839939,-0.7115076733001452,-0.6729714154471901,-0.6999038254164557,-1.0940019956569458
2014,CWB,9,2892.8454356606403,-0.0935090762133243,-10.832840800801725,-0.07668180378964763,-0.4324485207996555,-0.00010729731845013605,-0.16580846743091515,0.5495058459966764,-0.6664176396943492,0.7718370572955676,-0.8038126112057581,1.0433390942059684
2014,CWB,10,2892.8454356606403,-0.0935090762133243,0.5372890444579193,-1.7014623122687267,0.2908162117381043,-0.4762423824427971,-0.3536135759786953,0.9506222800730756,-1.4070765767645084,-0.6308703372614998,3.132561974732464,-0.4697236274168122
2014,CWB,11,2892.8454356606403,-0.0935090762133243,2.1462740030647893,-2.286488796031757,0.2908162117381043,-0.4061072325961757,0.12423197018595179,-0.29301901482835296,-0.2213299841374186,-0.6308703372614998,3.2396580233373795,-0.4697236274168122
2015,CWB,9,3101.367971827829,-0.0324093531892292,-0.08618478794327485,-0.37674615043044013,2.459023448870334,3.944357323861032,-5.735997663562715,0.4640434574992256,-2.751297297946512,0.24791266487975153,-0.419920299263271,0.7856364402605623
2015,CWB,10,3101.367971827829,-0.0324093531892292,-1.7063730966170059,0.6620738147625976,-0.4187075889390763,4.002794002746179,-7.5361251963939,1.0116828736128487,-4.582668635249118,-0.4527060648794895,-0.6326678640017309,1.2211990088951217
2015,CWB,11,3101.367971827829,-0.0324093531892292,-0.0938526659300671,1.4764630197481874,-0.4187075889390763,1.9726402132822065,-7.282544789592989,0.6260785093829307,-4.385593985145881,-0.4527060648794895,-0.6663594104246215,1.2211990088951217
2016,CWB,9,3477.431893841902,0.0660093515389699,-0.5441701773275672,0.901973928482804,0.8546871438605055,0.2305978882363835,0.17807232371938797,-0.5098629131042343,0.3117556043234602,8.669836565996269,-0.6451461772315852,-3.5599302229019845
2016,CWB,10,3477.431893841902,0.0660093515389699,-0.3216101386214897,-0.045239773993668776,-0.5500703503621278,1.8217666903995238,0.1142280965896113,-0.6876904317801676,0.2512028755980468,-0.5523815362515582,-0.808688285726572,0.5118488262546256
2016,CWB,11,3477.431893841902,0.0660093515389699,0.0051942277094736,-2.2730909517839866,-0.5500703503621278,0.16482268168402386,0.25334226288769945,-0.49365050333960564,0.2966532112000124,-0.5523815362515582,1.265990367964386,0.5118488262546256
1993,DWD,9,2037.439151033997,-0.0461708621216909,0.26452993336169806,-1.1357658392419034,-0.13036569481260585,-0.8433632920228704,0.4298507466914171,-0.5342320599967764,0.5351900528472141,-0.24982751641621964,0.1795702236722066,0.44741765113538196
1993,DWD,10,2037.439151033997,-0.0461708621216909,0.04891434065118999,-1.9970305316585477,-0.7731876040218693,-0.01910987470567748,0.22478114435853555,-0.5197779312257012,0.3694454178140005,-0.6725288681470262,0.3707102845906544,0.4800925577491282
1993,DWD,11,2037.439151033997,-0.0461708621216909,-2.503667083883825,0.4043944792341799,-0.7731876040218693,-0.7452793552924852,-0.22127757549012708,-0.37415813061296066,0.289404052432422,-0.6725288681470262,-0.7887475420888457,0.4800925577491282
1994,DWD,9,2185.741997507356,0.018137739947107,-0.03776091884781633,0.35695866264527226,-0.3303511312079305,-0.8867444293669278,1.1194764334893663,-0.2991428469632833,1.3101237298911916,0.22303338961549987,-0.7594708346491592,-1.7865680538845712
1994,DWD,10,2185.741997507356,0.018137739947107,0.2580570303161849,0.3481015518867431,0.169900268808493,1.620796434540643,-0.26037158161618057,-0.3240138823411727,-0.49388822232987756,-0.6495979428989257,-0.7769989565253791,0.0571136543547486
